product_title,product_rating,total_reviews,purchased_last_month,discounted_price,original_price,product_category,discount_percentage
"BOYA BOYALINK 2 Wireless Lavalier Microphone for iPhone Camera Android, Mini Lapel Micophone Wireless, 48 KHz 24 Bit, 6mm Mic, 1000ft, 30h Use, Noise Cancelling, Clip on Mic USB-C/Lightning/3.5mm TRS",4.6,375,300,89.68,159,Phones,43.6
"LISEN USB C to Lightning Cable, 240W 4 in 1 Charging Cable 6.6FT, Chubby USB A/C to C/Lightning with Light for iPhone 16e 15 14 Pro/MacBook Air 17/iPad/Samsung/Switch 2, Multi Chargers for All Devices",4.3,2457,6000,9.99,15.99,Laptops,37.52
"DJI Mic 2 (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone, Intelligent Noise Cancelling, 32-bit Float Internal Recording, 820 ft.(250m) Range, Microphone for iPhone, Android, Camera",4.6,3044,2000,314,349,Laptops,10.03
"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",4.6,35882,10000,162.24,162.24,Phones,0
"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.8,28988,10000,72.74,72.74,Phones,0
"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",4.6,44522,100000,99.95,99.95,Other Electronics,0
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",4.5,13466,10000,88.11,88.11,Phones,0
"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.6,38105,10000,23.04,23.04,Phones,0
Complete Protect: One plan covers all eligible past and future purchases on Amazon,4,4380,,16.99,16.99,Other Electronics,0
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life â€” Blue",4.7,7308,10000,284.05,284.05,Cameras,0
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",4.7,865598,100000,14.99,14.99,Laptops,0
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",4.8,1914,10000,880.95,880.95,Laptops,0
Transformers TF-T01 True Wireless Earbuds Wireless Bluetooth 5.4 Ear Buds Deep Bass Sound Earbud with Smart Noise Cancelling Mic IPX5 Waterproof in Ear Earphones for Android iOS Blue Optimus Prime,4.2,152,100,29.99,29.99,Phones,0
Seagate IronWolf 12TB NAS Internal Hard Drive HDD â€“ CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008),4.4,12076,1000,249.99,249.99,Storage,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",4.7,7235,500,69.95,69.95,Cameras,0
"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",4.7,48468,100000,17.45,17.45,Other Electronics,0
"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",4.8,198512,80000,39.97,39.97,Printers & Scanners,0
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",4.7,625776,100000,14.49,14.49,Laptops,0
"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",4.8,88965,100000,16.98,16.98,Other Electronics,0
"Roku Streaming Stick HD 2025 â€” HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,1909,10000,33.51,33.51,TV & Display,0
"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",4.8,61157,100000,16.95,19.98,Power & Batteries,15.17
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,12840,10000,146.14,146.14,TV & Display,0
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,54244,100000,9.89,14.33,Other Electronics,30.98
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,15087,10000,16.1,16.1,Phones,0
"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 3V Cell. 2032 Battery, Lithium Coin",4.7,84821,100000,,,Power & Batteries,
"Energizer Alkaline Power AAA Batteries, 32 Count, Long-Lasting Triple A Batteries, Suitable for Everyday Electronics and Emergency Gear",4.8,43002,70000,15.15,17.99,Power & Batteries,15.79
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,125404,80000,18.79,21.89,Power & Batteries,14.16
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,108926,10000,9.54,9.54,Phones,0
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,59092,50000,43.89,43.89,Laptops,0
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,101072,50000,35.89,35.89,Laptops,0
"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",4.5,171,,134.39,134.39,Phones,0
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,276,,42.99,42.99,Laptops,0
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,358,,239.99,239.99,Storage,0
Texas Instruments TI-30XS MultiView Scientific Calculator,4.8,36122,70000,16.99,20,Other Electronics,15.05
"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",4.7,123411,10000,11.06,11.06,Chargers & Cables,0
"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",4.8,44109,10000,39.97,48.99,TV & Display,18.41
"Energizer Ultimate Lithium AA Batteries Pack, 1.5V AA Batteries, 24 Count",4.7,32810,40000,,,Power & Batteries,
"Scotch Heavy Duty Shipping and Moving Packing Tape, Clear, Packing and Moving Supplies, 1.88 in. x 22.2 yd., 6 Tape Rolls with Dispensers",4.8,103375,10000,13.86,19.99,Other Electronics,30.67
"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",4.3,26559,10000,29.95,29.95,Headphones,0
"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",4.6,4676,10000,148,148,Phones,0
"Energizer AA and AAA Batteries, 48 Count, Combo Pack Contains 24 Max Double A and 24 Max Triple A Batteries",4.8,70083,40000,23.1,38.98,Power & Batteries,40.74
"Amazon Basics File Folders with Tabs for Filing, 1/3-Cut Tab, Assorted Positions, 8.5x11 inches, Letter Size, Manila, Pack of 100",4.8,53340,70000,11.1,14.39,Other Electronics,22.86
"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",4.8,67965,60000,20.39,21.89,Power & Batteries,6.85
"HP OfficeJet Pro 8125e Wireless All-in-One Color Inkjet Printer, Print, scan, Copy, ADF, Duplex Printing, Home & Office, 3 Months of Instant Ink Included (405T6A)",4.1,450,20000,119.99,169.99,Laptops,29.41
"Scotch Thermal Laminating Pouches, for Use with Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack",4.9,72360,70000,11.99,19.99,Other Electronics,40.02
"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",4.2,33507,10000,19.99,29.99,Networking,33.34
"Samsung Galaxy Tab A9+ Tablet 11â€ 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",4.4,15848,10000,159,219.99,Phones,27.72
"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",4.7,11785,10000,280.12,280.12,TV & Display,0
Sharpie Permanent Markers Bulk Set Fine Tip Markers Set For Plastic Metal Wood And More Black 36 Count,4.8,10981,50000,17.97,17.97,Other Electronics,0
Texas Instruments TI-30Xa Scientific Calculator,4.7,17495,60000,10.82,15,Other Electronics,27.87
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",4.8,72492,10000,21.99,24.99,Storage,12
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",4.8,16952,50000,25.66,25.66,Storage,0
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",4.6,16222,10000,127.49,127.49,Phones,0
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",4.8,2377,10000,476.5,476.5,Laptops,0
"Seagate Portable 2TB External Hard Drive HDD â€” USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",4.6,262557,10000,79.99,79.99,Storage,0
"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",4.6,6133,10000,97.49,97.49,Phones,0
"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",4.6,18532,30000,47.89,47.89,Laptops,0
"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos Anywhere",4.1,264,,85.99,85.99,TV & Display,0
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",3.9,6335,500,29.99,32.72,Phones,8.34
"Sanus Height Adjustable Speaker Stand for Sonos Era 300â„¢ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",4.4,45,,179.99,179.99,Speakers,0
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",4.6,24117,20000,52.89,71.87,Laptops,26.41
"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life â€” Space Gray",4.8,1553,6000,514.28,514.28,Laptops,0
"Amazon Basics 8-Pack 9V Alkaline Batteries, 5-Year Shelf Life - for Smoke/CO Detector, Electronics & Audio",4.7,231583,60000,12.69,12.69,Other Electronics,0
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Google Cast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",4.1,4856,10000,138,169.99,Phones,18.82
"HP Original 910 Cyan, Magenta, Yellow / 910XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3JB41AN",4.6,6931,20000,106.89,106.89,Laptops,0
"Aquaphor Baby Healing Ointment Advanced Therapy Skin Protectant for Chapped or Dry Skin, Drool Rash and Diaper Rash Ointment, 14 Oz Jar",4.8,54759,40000,17.99,17.99,Other Electronics,0
"Logitech Brio 101 Full HD 1080p Webcam for Meetings, Streaming, Desktop, Laptop, PC - Built-in Mic, Shutter, USB-A, Teams, Zoom - Black",4.4,24693,10000,39.59,39.59,Laptops,0
"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",4.8,1212,2000,1647.21,1647.21,Laptops,0
Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,4.5,744,10000,44.99,44.99,TV & Display,0
Meta Quest 3 512GB | Thirty Percent Sharper Resolution â€” 2X Graphical Processing Power â€” Play Without Wires â€” Get Batman: Arkham Shadow and a 3-Month Trial of Meta Horizon+ Included,4.5,3316,9000,485.05,485.05,Other Electronics,0
"Original HP 962 Cyan, Magenta, Yellow / 962XL Black Ink Cartridges (4-Pack) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series",4.6,6350,10000,154.89,154.89,Laptops,0
"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",4.6,19724,10000,11.89,18.99,Phones,37.39
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",4.7,7235,500,69.95,69.95,Cameras,0
"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",4.5,171,,134.39,134.39,Phones,0
Escort MAX 360c Radar Detector with Extra Mount & OBDII Cord Bundle,4.4,1465,50,569.95,569.95,Other Electronics,0
"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",4.8,48326,40000,19.99,21.44,Laptops,6.76
"Amazon Basics 9 inch Thermal Laminator Machine for Documents and Photos, Easy to Use for Home Office or School, White",4.6,2740,40000,20.69,29.99,Other Electronics,31.01
"Apple 20W USB-C Compact Power Adapter: Fast and Convenient Charging, Type C Wall Charger",4.8,5591,10000,13.45,13.45,Chargers & Cables,0
"Apple 2024 Mac mini Desktop Computer with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, 16GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",4.8,1356,5000,540.75,540.75,Laptops,0
"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",4.5,43204,10000,11.98,11.98,Laptops,0
"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",4.6,885,10000,135,135,Laptops,0
"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",4.7,14168,10000,149.99,199.99,Phones,25
"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",4.3,20039,10000,79.95,99.95,Wearables,20.01
"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",4.7,18748,10000,103.99,103.99,Phones,0
"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",4.6,2617,10000,166.62,166.62,Laptops,0
"HP 64 Black & Tri-Color Ink Cartridges for HP Printers (Combo Pack) | Works with Printer Series: Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | X4D92AN",4.6,23765,20000,55.89,55.89,Laptops,0
"Logitech H390 Gaming Headphones, Wired Headphones with Mic, USB Headset with Microphone for PC, Noise Cancelling Microphone for Video Meetings, Music, Gaming - Black",4.3,69082,10000,15.68,15.68,Phones,0
"RCA 10.1"" WiFi Digital Picture Frame Uhale App Photo Frames Electronic HD IPS Touch Screen Display with 32GB Memory LED Lights, Support USB/SD Card, Slideshow, Instantly Share Photos Videos",4,5,,59.99,79.99,Storage,25
"Pyle Dash Cam, Rearview Mirror Monitor, Night Vision, 7.4â€ LCD Screen, Backup Camera, Slim Bar Design, Waterproof IP-69, G-Sensor, Audio Recording, 32GB Memory Slot, Universal Mount, Includes Cables",3.8,30,,139.99,139.99,Chargers & Cables,0
"myQ Smart Garage Security Camera â€“ 1080p HD Video, Night Vision, Motion Detection, Magnetic, Wi-Fi, Two-Way Audio, Smartphone Control",4.2,5284,2000,29.22,49.99,Phones,41.55
Amazon Basics 8-Sheet Cross Cut Paper Shredder and Credit Card Shredder - Black,4.4,64543,30000,30.58,33.99,Other Electronics,10.03
"Anker USB C Charger(Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20, Dell XPS 13, Note 20/10+, iPhone 16/16 Pro, Steam Deck, and More",4.6,17279,10000,25.99,39.99,Laptops,35.01
"HP DeskJet 2855e Wireless All-in-One Color Inkjet Printer, Scanner, Copier, Best-for-home, 3 months of Instant Ink included, Single-band Wi-Fi connectivity (588S5A)",3.9,11214,20000,59.99,89.99,Laptops,33.34
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",4.4,7091,10000,97.97,119.97,TV & Display,18.34
Roku Streaming Stick 4K - HDR & Dolby Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV,4.7,90262,10000,33.99,33.99,TV & Display,0
"HP 63 Black Ink Cartridge for HP Printers | Works with Printer Series: DeskJet 1112, 2130, 3630; ENVY 4510, 4520; OfficeJet 3830, 4650, 5200 | Eligible for Instant Ink | F6U62AN",4.7,94058,30000,30.99,35.64,Laptops,13.05
"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",4.6,51663,10000,22.99,24.58,TV & Display,6.47
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video, Clear Audio, HD Light Correction, PC Camera Webcam, Works with Skype, Zoom, Facetime, PC, Laptop, Mac, Tablet - Black",4.6,20903,10000,59.99,69.99,Laptops,14.29
"Canon PG-275 / CL-276 Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",4.6,18811,20000,34.99,39.99,Cameras,12.5
"Samsung Galaxy Buds 3 Pro AI True Wireless Bluetooth Earbuds, Noise Cancelling, Sound Optimization, Redesigned Comfort Fit, Silver [US Version, Amazon Exclusive, 2Yr Warranty]",4.2,3209,10000,189.99,249.99,Phones,24
"LISEN Retractable Car Charger, 69W USB C Car Accessories Adapter for iPhone 16 USB C Charger Fast Charging,Gifts for Women Men, Travel Essentials, Truck Accessories, for iPhone 16 Pro Max 15 14 13 12",4.6,10222,10000,16.99,27.99,Phones,39.3
"Amazon Basics Dry Erase Markers For Whiteboards, Chisel Tip, Low-Odor, Assorted Colors, Pack of 12",4.6,33312,50000,6.91,6.91,Other Electronics,0
"Amazon Basics Stapler with 1000 Staples, Office Stapler, 25 Sheet Capacity, Non-Slip, Black",4.6,52607,50000,5.65,6.29,Other Electronics,10.17
"Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy Ã¢â‚¬â€œ The Ideal Basic Home Printer - Black, Medium",4.2,13855,7000,189.99,239.99,Printers & Scanners,20.83
"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",4.7,52857,10000,62.89,62.89,Laptops,0
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",4.1,3818,10000,172.2,229.99,Laptops,25.13
"DJI Mic Mini (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone for iPhone/Camera/Android, Ultralight, Detail-Rich Audio, 48h Use, Noise Cancelling, Automatic Limiting, Vlog, Streaming",4.7,4657,10000,139.5,169,Phones,17.46
"Scotch Heavy Duty Shipping Packing Tape, Clear, Shipping and Packaging Supplies, 1.88 in. x 54.6 yd., 6 Tape Rolls",4.8,15868,30000,16.98,32.29,Other Electronics,47.41
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",4.8,126587,10000,24.99,34.99,Chargers & Cables,28.58
"HP 962 Cyan, Magenta, Yellow Ink Cartridges for HP Printers | Works with Printer Series: OfficeJet 9010, 9020 | Eligible for Instant Ink | 3YP00AN",4.6,13112,10000,85.89,85.89,Laptops,0
"Fujifilm Instax Mini Instant Film, 10 Sheets x 5 Packs (Total 50 Shoots)",4.7,3724,10000,60.5,60.5,Cameras,0
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",4.6,60696,10000,198,348,Phones,43.1
Post-it Super Sticky Easel Pad 25 in x 30 in White 30 Sheets/Pad 2 Pad/Pack Large White Premium Self Stick Flip Chart Paper Super Sticking Power (559),4.8,6853,10000,43.87,65.99,Other Electronics,33.52
"Avery Insertable Plastic Dividers for 3 Ring Binders, 8 Tabs per Set, Big Tabs, Two Pockets, Multicolor Binder Dividers, Works with Sheet Protectors (11903)",4.8,3875,40000,4.26,5.84,Other Electronics,27.05
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",3.9,6335,500,29.99,32.72,Phones,8.34
"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos Anywhere",4.1,264,,85.99,85.99,TV & Display,0
"Sanus Height Adjustable Speaker Stand for Sonos Era 300â„¢ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",4.4,45,,179.99,179.99,Speakers,0
"HP 64XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango | Eligible for Instant Ink | N9J92AN",4.7,23337,10000,62.89,62.89,Laptops,0
"Samsung 990 EVO Plus SSD 2TB, PCIe Gen 4x4, Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0, (MZ-V9S2T0B/AM)",4.8,5990,10000,119.99,176.99,Laptops,32.21
"HP 63 Black/Tri-color Ink (2-pack) | Works with HP DeskJet 1112, 2130, 3630 Series; ENVY 4510, 4520 Series; OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | L0R46AN",4.7,45015,10000,67.89,67.89,Laptops,0
"Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training, Standard Absorbency, X-Large, 28 x 34 Inch - Pack of 60, Blue & White",4.5,237579,20000,26.99,26.99,Laptops,0
"HP 952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with Printer Series: OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 | Eligible for Instant Ink | N9K27AN",4.6,18869,10000,96.89,96.89,Laptops,0
"Logitech M510 Wireless Mouse, Mouse for Laptop and PC with USB Unifying Receiver, Programmable Buttons - Graphite",4.6,33246,10000,25.98,27.99,Laptops,7.18
"Energizer Ultimate Lithium AA Batteries (8 Pack), 1.5V Lithium Double A Batteries",4.7,47221,30000,,,Power & Batteries,
Apple AirPods 2 with Charging Case - White (Renewed),4.1,16761,10000,82,96.99,Headphones,15.46
